448260,4.689483,Cubium Dreams
448250,4.8432555,NUKED KNIGHT
448160,53.694717,WOLFLAME
448130,32.092987,Sharf
448110,23.148151,So Long Earth
448090,3.697451,Virtual Rogue
448080,64.44641,Fibbage XL
448070,8.662796,Red Risk
448050,19.61673,Mr Nibbles Forever
448010,3.0598636,RePete
448000,24.276155,Sparkle ZERO
447990,6.83022,Spectrubes
447890,9.989709,Cat on a Diet
447860,24.42002,Maria the Witch
447800,30.216452,LostWinds 2: Winter of the Melodias
447780,33.868576,LostWinds
447310,17.803246,Paper Train Traffic
447200,27.7446,The Men of Yoshiwara: Ohgiya
447190,21.06061,Pub Encounter
447180,56.4103,My Secret Pets!
447170,32.697823,Unknown
446990,9.003408,The Huntsman: Winter's Curse
446910,10.742804,Night Blights
446870,6.1631446,Glitchrunners
446770,11.471487,Skeet: VR Target Shooting
446640,4.634599,Space Pilgrim Episode IV: Sol
446330,23.721191,Guns of Infinity
446310,25.845911,Sabres of Infinity
446250,7.0933533,Silver Bullet: Prometheus
445600,12.848534,Void Raiders
445230,52.95288,Lost girl`s [diary]
445210,13.997449,Tiny Knight
445130,44.69599,The Average Everyday Adventures of Samantha Browne
445110,24.827019,Tasty Planet: Back for Seconds
445070,16.084558,Tatsu
444940,18.90212,UBERMOSH:BLACK
444870,0.631539,Combat Racers
444860,15.90414,Split
444800,8.598273,NO THING
444770,30.947813,Mimpi Dreams
444740,0.59880203,Cologne
444720,18.762703,Inexistence
444640,19.085918,Bloons TD Battles
444590,17.671347,Shrouded in Sanity
444550,11.937572,Void 21
444520,15.769059,Leave Me Alone
444440,3.9155962,Scapeland
444420,17.088528,24 Hours 'til Rescue
444350,37.53333,HACK_IT
444290,9.7402725,28 Waves Later
444280,21.96262,Alice's Patchwork
444270,10.490445,Hypersensitive Bob
444260,7.2897096,Mindless Running
444220,9.846985,Asteroid Bounty Hunter
444210,49.28864,Desert Thunder: Strike Force
444180,11.396679,Techwars Online
444160,9.875638,Bonsai
444020,20.0,Coffee Pot Terrarium
444000,32.822586,Super Night Riders
443850,7.682535,Tross
443830,14.264748,The Daring Mermaid Expedition
443650,27.080856,Wailing Heights
443630,15.722639,Chicku
443580,33.18686,Antenna
443460,9.209955,Star Sky 2
443450,20.714283,LASTFIGHT
443420,18.055555,Artificial Defense
443250,5.88235,Legacy of the Elder Star
443000,0.0,DUAL GEAR
442890,28.132135,Magic Potion Explorer
442770,38.286667,The Minims
442710,8.384142,Fantasy Tales Online
442500,29.63065,Age Of Gladiators
442290,26.742329,Pointless
442260,17.846155,Sprinter
442220,0.9025263,Iron Madness
442140,8.939979,Dyadic
441790,0.0609921,Fragmented
441680,33.766075,Obscuritas
441670,24.79729,Jelly Killer
441280,35.31518,Pharaoh Rebirth+
441230,45.01416,Babel: Tower to the Gods
441060,31.62393,Silver Creek Falls - Chapter 3
440950,0.55991,Story Of the Survivor
440880,27.465881,The Count Lucanor
440810,16.976742,1943 Megami Strike
440800,28.354246,Trial by Viking
440790,23.93791,Spellbind
440750,0.89391243,Story of a Cube
440740,15.539275,Tap Tap Legions - Epic battles within 5 seconds!
440720,50.3268,Pandora`s room
440690,26.35608,Mesel
440470,8.02139,Absence
440340,28.232496,Banzai Escape
440330,9.438031,Warhammer: Arcane Magic
440100,39.5349,Fall of Gyes
440020,9.95178,bit Dungeon+
439950,26.169147,Frontier
439940,6.4489374,Lucid9: Inciting Incident
439910,7.4543753,Risky Rescue
439770,21.562471,The Lost Heir: The Fall of Daria
439750,35.735935,The Lost Heir 2: Forging a Kingdom
439740,4.511279,Eclipsed
439730,2.0408196,XO-Planets
439440,10.00178,Of Carrots And Blood
439310,30.049023,Until I Have You
439250,5.870842,Space Pilgrim Episode III: Delta Pavonis
439190,40.805965,Stories: The Path of Destinies
438920,2.070624,Legends of Callasia
438780,11.396013,Terrarium Land
438490,11.011905,GOD EATER 2 Rage Burst
438340,17.98295,Drizzlepath: Genie
438260,24.074076,Rewind
438220,29.90195,Castle Heist: Chapter 1
438130,19.723616,Root Double -Before Crime * After Days- Xtend Edition
438080,3.2390442,Surfingers
438020,13.339667,AI: Rampage
438000,2.475211,PIXELMAN
437890,11.371017,AuroraRL
437880,3.4102607,Project Graviton
437870,21.27442,Earth Space Colonies
437710,32.89189,Magic Flute
437530,12.753654,A Blind Legend
437520,19.225359,ZeGame
437420,65.266045,The Secret Order 3: Ancient Times
437390,0.0,HoPiKo
437100,4.8878636,My Night Job
437090,11.315788,Wobbly Jungle
437000,7.851848,GUILTY GEAR 2 -OVERTURE-
436530,7.769645,Bullshot
436480,27.0776,Soup: the Game
436410,0.406504,Beyond The Destiny
436360,3.9682534,Robo's World: The Zarnok Fortress
436320,0.367647,Raw Data
436300,20.446743,Impulse!
436260,4.2885,Ultimate Arena
436220,6.131523,A-10 VR
436150,22.072538,Governor of Poker 3
436140,6.752296,Empire of the Gods
435970,20.816326,RefRain -prism memories-
435840,33.72048,The Preposterous Awesomeness of Everything
435800,15.637056,Binaries
435600,8.555941,Unknown
435360,26.810068,Campus Notes - forget me not.
435300,52.35202,We Know the Devil
435260,16.462585,Planet Stronghold: Colonial Defense
435040,33.325024,Incredible Dracula: Chasing Love Collector's Edition
435030,14.625988,Lost Lands: Mahjong
434970,19.656012,That Dam Level redux
434960,37.69575,Rolling Gauntlet
434880,16.318993,Hieroglyphika
434860,4.5,Wanderjahr
434820,9.562259,Brushwood Buddies
434790,9.900286,Planet 1138
434730,23.774904,Half Dead
434700,13.136363,Forgotten Ball
434680,11.979916,Lamia's Game Room
434650,48.67883,Lost Castle
434620,49.74316,Pythagoria
434570,20.897987,Blood and Bacon
434530,3.3083484,Flobe
434490,22.747746,Otem's Defiance
434420,10.410214,The Chosen RPG
434410,11.888531,Moonlight
434390,5.8017545,Lost Bros
434360,25.56728,Kitten Rampage
434340,8.279011,Spheria
434290,5.741948,Typefighters (Steam Edition)
434260,53.033867,My Name is Mayo
434250,48.324184,Masked Shooters 2
434240,2.7513566,Alien Blitz
434230,20.521898,Fairies vs. Darklings: Arcane Edition
434220,14.584587,Bear Haven Nights
434210,31.32695,It's Spring Again
434140,8.571428,New Outbreak
434130,13.216625,Witch and Hero(?????)
434120,11.54757,To Burn in Memory
434110,8.448192,Premium Pool
434020,24.853662,Last Hope - Tower Defense
434010,2.79779,Wishmaster
434000,30.890905,Paws: A Shelter 2 Game
433960,8.857914,Shadow Of Nebula
433950,20.433014,Bit Blaster XL
433910,4.072396,Neon Drive
433840,12.310042,Trulon: The Shadow Engine
433830,3.9671674,Rescue From Goblin Deep
433670,2.602858,Professional Farmer 2017
433600,15.623062,A Legend of Luca
433590,3.33333,The Song of Seven: Chapter One
433570,13.63636,Side Quest
433490,10.151879,Super Flippin' Phones
433400,5.0746264,Kim
433380,49.666668,Back in 1995
433210,2.535801,Rhino's Rage
433190,0.320513,CDF Starfighter VR
433110,17.732885,Zipple World
433100,19.830269,The Town of Light
433000,32.15364,Lost Lands: The Golden Curse
432990,15.6743,Green Game: TimeSwapper
432980,19.36936,INVERSUS
432940,26.675385,Breakneck
432870,0.27436143,Special Tactics
432720,7.2477365,Welkin Road
432640,14.413394,BuriedTown
432610,2.630962,Monumental
432590,11.867906,And So It Was
432480,18.701305,Grenade Madness
432470,1.5891576,Magdalena
432380,3.5211265,Hydra Slayer
432330,1.3016275,Rytmik Lite Chiptune Synthesizer
432290,2.751605,Elemental Heroes
432280,6.946504,BattleStorm
432260,12.341067,Tiltagon
432190,46.240314,Chef Solitaire: USA
432180,19.962143,Discouraged Workers TEEN
432130,20.453295,Break Chance Memento
432020,15.661008,What's under your blanket !?
432010,12.039552,World's Dawn
431910,15.727175,Psychocat: The Answer
431860,3.2099776,Color Chemistry
431840,3.6064565,3DRPG
431830,9.210531,Hull BreacH
431810,4.465771,Rencounter
431710,6.164167,Space Pilgrim Episode II: Epsilon Indi
431680,10.51051,Nuts!: The Battle of the Bulge
431640,11.9047575,Doodle Kingdom
431630,16.402117,Action Legion
431590,18.472641,Earn to Die 2
431560,1.5801651,Hard Room
431540,1.7948625,Frosty Kiss
431510,3.77587,Mystic Destinies: Serendipity of Aeons
431410,10.168467,Mazement
431370,0.0645995,Diorama No.3 : The Marchland
431290,2.693124,Level 22: Gary’s Misadventure - 2016 Edition
431250,14.835305,Mushroom Wars
431240,45.209248,Golf With Friends
431230,17.242865,Tiny Guardians
431220,0.7809109,Porradaria 2: Pagode of the Night
431180,10.293186,WolfQuest
430240,23.941795,Duplexer
430190,5.3495417,Wondershot
430170,10.525717,Babel: Choice
429950,1.6705469,ABO MANDO
429940,60.800564,The Sad Story of Emmeline Burns
429720,37.833874,IMSCARED
429700,1.833473,Squirbs
429690,17.791666,Astro Duel
429680,4.049812,Spellweaver
429620,10.413078,Dungeon Rushers
429610,63.509453,The Emerald Maiden: Symphony of Dreams
429600,34.454544,Fairy Tale Mysteries: The Puppet Thief
429580,6.8010044,A Wild Catgirl Appears!
429570,56.375496,The Walking Dead: Michonne - A Telltale Miniseries
429470,10.421563,Space Pilgrim Episode I: Alpha Centauri
429390,13.413943,XenoShyft
429350,7.777775,Satellite Rush
429330,4.944908,Stikbold! A Dodgeball Adventure
429300,19.0729,Sepia Tears
429250,11.013302,Beyond Dimensions
429220,12.542643,FullBlast
429200,1.1671969,Super Helmets on Fire DX Ultra Edition Plus Alpha
429060,11.257514,Zombie Wars: Invasion
429050,20.796267,Feed and Grow: Fish
429020,3.4227536,Lost World Zero
428930,2.9962554,Into the Belly of the Beast
428900,26.92039,Unknown
428880,6.555359,The Quest
428830,0.3024781,Save the Dodos
428760,2.4527388,Hatch and Slay
428750,10.18937,Neon Chrome
428740,3.2773786,Nordenfelt
428690,83.33335,Youtubers Life
428550,12.696389,Momodora: Reverie Under the Moonlight
428530,2.547211,Machine Gun Train Run
428510,7.702803,Solitaire Christmas. Match 2 Cards
428460,0.162668,Kings of Israel
428440,29.0666,Chasing Dead
428430,0.00177892,Endorlight
428410,32.067497,PRiO
428350,18.559946,Fear Equation
428230,25.333334,Swift
428220,16.648415,TurnOn
428200,14.861293,Attack Heroes
428180,46.99437,Islet Online
428130,2.6666641,Walk The Light
428040,41.03586,Sixth Grade Detective
428020,11.719591,The ORPHEUS Ruse
427980,30.3623,Aozora Meikyuu
427970,0.75757575,Heathen Engineering's Terran
427930,1.5004396,Army of Tentacles: (Not) A Cthulhu Dating Sim
427820,15.668174,Hitman GO: Definitive Edition
427810,25.547087,CALENDULA
427780,7.0453615,PERFECT ANGLE: The puzzle game based on optical illusions
427770,6.0412836,Pills4Skills
427730,0.03303422,Who's Your Daddy
427660,32.425926,NightCry
427550,52.87058,Tibetan Quest: Beyond the World's End
427510,14.499276,Way of the Samurai 3
427470,30.992615,Democracy 3 Africa
427250,7.175453,8-Bit Armies
427030,11.185861,????????(The Gate of Firmament)
426970,10.135407,Age of Magic CCG
426590,7.865557,Blood of Magic
426330,18.494753,MetaHuman Inc.
426240,46.66666,Caretaker Sacrifice
426170,16.768267,Defragmented
426010,3.9907844,Womb Room
426000,28.40631,HunieCam Studio
